image_path,score,dataset,split,relative_path
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_329_19892905819_568cbdb482_b.jpg,0.6,aadb,train,farm1_329_19892905819_568cbdb482_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_457_20109653736_f1c970b9f8_b.jpg,0.055,aadb,train,farm1_457_20109653736_f1c970b9f8_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_352_19983117390_3d4342a2cf_b.jpg,0.45,aadb,train,farm1_352_19983117390_3d4342a2cf_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_282_20097906841_6e8c0fd7fa_b.jpg,0.85,aadb,train,farm1_282_20097906841_6e8c0fd7fa_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_369_20305862176_aef7e9fac7_b.jpg,0.35,aadb,train,farm1_369_20305862176_aef7e9fac7_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_262_20236894046_de5f729066_b.jpg,0.25,aadb,train,farm1_262_20236894046_de5f729066_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_373_20096392752_719b8e2214_b.jpg,0.35,aadb,train,farm1_373_20096392752_719b8e2214_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_299_19561244833_7feb8b30a5_b.jpg,0.45,aadb,train,farm1_299_19561244833_7feb8b30a5_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_275_19978961419_7a59541097_b.jpg,0.55,aadb,train,farm1_275_19978961419_7a59541097_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_447_19535685163_c6face4e73_b.jpg,0.55,aadb,train,farm1_447_19535685163_c6face4e73_b.jpg
/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_352_20181788331_72a0ce1ce9_b.jpg,0.2,aadb,train,farm1_352_20181788331_72a0ce1ce9_b.jpg
