id,dataset_source,source_split,source_metadata_csv,source_image_path,image_path,image_file,width,height,aadb_score,aadb_relative_path,ava_mean_score,ava_vote_1,ava_dist_1,ava_vote_2,ava_dist_2,ava_vote_3,ava_dist_3,ava_vote_4,ava_dist_4,ava_vote_5,ava_dist_5,ava_vote_6,ava_dist_6,ava_vote_7,ava_dist_7,ava_vote_8,ava_dist_8,ava_vote_9,ava_dist_9,ava_vote_10,ava_dist_10,nima_mean_score,nima_unit_score,rgnet_score,alamp_score,available_models,weighted_aesthetic_score,balanced_comparison_score,score_delta_primary_minus_comparison,rank_primary,rank_comparison,rank_delta_primary_minus_comparison,primary_rank_percentile,selection_bucket,selected,teacher_subset_bucket,teacher_subset_id
ava__train__898944.jpg__64d3023a,ava,train,data/processed/ava/train.csv,data/raw/ava/images/898944.jpg,/home/omen_pc1/ava/images/898944.jpg,898944.jpg,800,562,,,5.876289,1.0,0.005155,3.0,0.015464,3.0,0.015464,19.0,0.097938,44.0,0.226804,72.0,0.371134,28.0,0.14433,17.0,0.087629,6.0,0.030928,1.0,0.005155,5.411156,0.490128,0.551368,0.650507,"['alamp', 'nima', 'rgnet']",0.594813,0.581838,0.012975,424,497,-73,0.141,selected_high,True,selected_high,teacher__19__ava__898944.jpg__f97e4af3
ava__train__90567.jpg__af05672d,ava,train,data/processed/ava/train.csv,data/raw/ava/images/90567.jpg,/home/omen_pc1/ava/images/90567.jpg,90567.jpg,406,640,,,5.230769,0.0,0.0,1.0,0.005495,13.0,0.071429,34.0,0.186813,62.0,0.340659,47.0,0.258242,18.0,0.098901,6.0,0.032967,1.0,0.005495,0.0,0.0,5.369041,0.485449,0.52203,0.480101,"['alamp', 'nima', 'rgnet']",0.497407,0.499771,-0.002364,1474,1490,-16,0.491,middle_near_miss,False,middle_near_miss,teacher__20__ava__90567.jpg__9220cca8
ava__train__234740.jpg__273e18d3,ava,train,data/processed/ava/train.csv,data/raw/ava/images/234740.jpg,/home/omen_pc1/ava/images/234740.jpg,234740.jpg,478,640,,,6.509901,0.0,0.0,0.0,0.0,4.0,0.019802,14.0,0.069307,35.0,0.173267,59.0,0.292079,35.0,0.173267,32.0,0.158416,13.0,0.064356,10.0,0.049505,5.750517,0.527835,0.655767,0.558641,"['alamp', 'nima', 'rgnet']",0.594411,0.597727,-0.003316,430,371,59,0.143,selected_high,True,selected_high,teacher__21__ava__234740.jpg__246899c9
aadb__train__farm1_456_19997008730_88ecb9ab04_b.jpg__c60dfbba,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_456_19997008730_88ecb9ab04_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_456_19997008730_88ecb9ab04_b.jpg,farm1_456_19997008730_88ecb9ab04_b.jpg,1024,685,0.55,farm1_456_19997008730_88ecb9ab04_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.732153,0.525795,0.529259,0.601276,"['alamp', 'nima', 'rgnet']",0.564921,0.557546,0.007375,663,718,-55,0.2206666666666666,selected_high,True,selected_high,teacher__22__aadb__farm1_456_19997008730_88ecb9ab04_b.jpg__c5d9d502
aadb__train__farm1_341_19711219273_c56cef839b_b.jpg__0b676b77,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_341_19711219273_c56cef839b_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_341_19711219273_c56cef839b_b.jpg,farm1_341_19711219273_c56cef839b_b.jpg,1024,768,0.55,farm1_341_19711219273_c56cef839b_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.695669,0.521741,0.559123,0.583705,"['alamp', 'nima', 'rgnet']",0.567676,0.563349,0.004327,630,664,-34,0.2096666666666666,selected_high,True,selected_high,teacher__23__aadb__farm1_341_19711219273_c56cef839b_b.jpg__7a9afe82
aadb__test__farm1_436_19928660899_cabcb63b83_b.jpg__bb176e37,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_436_19928660899_cabcb63b83_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_436_19928660899_cabcb63b83_b.jpg,farm1_436_19928660899_cabcb63b83_b.jpg,1024,683,0.575,farm1_436_19928660899_cabcb63b83_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.310208,0.478912,0.587003,0.373367,"['alamp', 'nima', 'rgnet']",0.469376,0.485335,-0.015959,1908,1709,199,0.6356666666666667,middle_near_miss,False,middle_near_miss,teacher__24__aadb__farm1_436_19928660899_cabcb63b83_b.jpg__0091d9fa
ava__train__190297.jpg__68153af1,ava,train,data/processed/ava/train.csv,data/raw/ava/images/190297.jpg,/home/omen_pc1/ava/images/190297.jpg,190297.jpg,640,427,,,4.577287,7.0,0.022082,12.0,0.037855,47.0,0.148265,82.0,0.258675,100.0,0.315457,51.0,0.160883,8.0,0.025237,5.0,0.015773,1.0,0.003155,4.0,0.012618,5.375033,0.486115,0.326471,0.386407,"['alamp', 'nima', 'rgnet']",0.372403,0.374392,-0.001989,2880,2917,-37,0.9596666666666668,rejected_low,False,rejected_low,teacher__25__ava__190297.jpg__4f35346e
aadb__train__farm1_390_20199257905_b8d9d83e8a_b.jpg__81813d62,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_390_20199257905_b8d9d83e8a_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_390_20199257905_b8d9d83e8a_b.jpg,farm1_390_20199257905_b8d9d83e8a_b.jpg,1024,683,0.75,farm1_390_20199257905_b8d9d83e8a_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.794996,0.532777,0.54325,0.496519,"['alamp', 'nima', 'rgnet']",0.518837,0.522987,-0.00415,1172,1147,25,0.3903333333333333,middle_near_miss,False,middle_near_miss,teacher__26__aadb__farm1_390_20199257905_b8d9d83e8a_b.jpg__d9ced350
ava__train__635840.jpg__e8090070,ava,train,data/processed/ava/train.csv,data/raw/ava/images/635840.jpg,/home/omen_pc1/ava/images/635840.jpg,635840.jpg,720,480,,,5.008547,1.0,0.004274,1.0,0.004274,8.0,0.034188,57.0,0.24359,101.0,0.431624,52.0,0.222222,12.0,0.051282,2.0,0.008547,0.0,0.0,0.0,0.0,6.141303,0.571256,0.430772,0.411212,"['alamp', 'nima', 'rgnet']",0.43504,0.444021,-0.008981,2387,2368,19,0.7953333333333333,rejected_low,False,rejected_low,teacher__27__ava__635840.jpg__aa3a0d24
ava__train__85289.jpg__08d70219,ava,train,data/processed/ava/train.csv,data/raw/ava/images/85289.jpg,/home/omen_pc1/ava/images/85289.jpg,85289.jpg,427,640,,,5.231617,2.0,0.007353,10.0,0.036765,23.0,0.084559,56.0,0.205882,66.0,0.242647,59.0,0.216912,34.0,0.125,14.0,0.051471,6.0,0.022059,2.0,0.007353,6.143555,0.571506,0.409961,0.461286,"['alamp', 'nima', 'rgnet']",0.451778,0.454723,-0.002945,2191,2225,-34,0.73,rejected_low,False,rejected_low,teacher__28__ava__85289.jpg__437a3854
ava__val__9512.jpg__06e9999f,ava,val,data/processed/ava/val.csv,data/raw/ava/images/9512.jpg,/home/omen_pc1/ava/images/9512.jpg,9512.jpg,420,640,,,5.099585,10.0,0.041494,16.0,0.06639,25.0,0.103734,41.0,0.170124,54.0,0.224066,39.0,0.161826,28.0,0.116183,10.0,0.041494,12.0,0.049793,6.0,0.024896,4.950849,0.438983,0.403986,0.377892,"['alamp', 'nima', 'rgnet']",0.394439,0.398798,-0.004359,2766,2805,-39,0.9216666666666666,rejected_low,False,rejected_low,teacher__29__ava__9512.jpg__63654cef
ava__train__724283.jpg__cc7beece,ava,train,data/processed/ava/train.csv,data/raw/ava/images/724283.jpg,/home/omen_pc1/ava/images/724283.jpg,724283.jpg,480,402,,,4.838384,4.0,0.020202,7.0,0.035354,22.0,0.111111,44.0,0.222222,63.0,0.318182,37.0,0.186869,12.0,0.060606,5.0,0.025253,3.0,0.015152,1.0,0.005051,5.574229,0.508248,0.476618,0.297766,"['alamp', 'nima', 'rgnet']",0.390355,0.409822,-0.019467,2793,2716,77,0.9306666666666666,rejected_low,False,rejected_low,teacher__30__ava__724283.jpg__4892732d
ava__train__372695.jpg__0c80f7d1,ava,train,data/processed/ava/train.csv,data/raw/ava/images/372695.jpg,/home/omen_pc1/ava/images/372695.jpg,372695.jpg,533,400,,,4.471545,10.0,0.04065,22.0,0.089431,38.0,0.154472,53.0,0.215447,63.0,0.256098,39.0,0.158537,7.0,0.028455,6.0,0.02439,6.0,0.02439,2.0,0.00813,5.813509,0.534834,0.475433,0.48502,"['alamp', 'nima', 'rgnet']",0.486167,0.488178,-0.002011,1627,1660,-33,0.542,middle_near_miss,False,middle_near_miss,teacher__31__ava__372695.jpg__77e07a74
aadb__test__farm1_346_20011469250_1f4b77f915_b.jpg__6482cdad,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_346_20011469250_1f4b77f915_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_346_20011469250_1f4b77f915_b.jpg,farm1_346_20011469250_1f4b77f915_b.jpg,1024,683,0.5,farm1_346_20011469250_1f4b77f915_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.176102,0.464011,0.49541,0.43663,"['alamp', 'nima', 'rgnet']",0.46288,0.467188,-0.004308,2003,2028,-25,0.6673333333333333,middle_near_miss,False,middle_near_miss,teacher__32__aadb__farm1_346_20011469250_1f4b77f915_b.jpg__4706ddb0
ava__train__694248.jpg__e9986182,ava,train,data/processed/ava/train.csv,data/raw/ava/images/694248.jpg,/home/omen_pc1/ava/images/694248.jpg,694248.jpg,640,320,,,5.880829,0.0,0.0,1.0,0.005181,6.0,0.031088,17.0,0.088083,60.0,0.310881,53.0,0.274611,33.0,0.170984,11.0,0.056995,10.0,0.051813,2.0,0.010363,5.635721,0.51508,0.481336,0.493903,"['alamp', 'nima', 'rgnet']",0.490994,0.491424,-0.00043,1553,1613,-60,0.5173333333333333,middle_near_miss,False,middle_near_miss,teacher__33__ava__694248.jpg__1cf49c9b
aadb__val__farm1_341_19588090384_7f76bee6f4_b.jpg__49070f42,aadb,val,data/processed/aadb/val.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_341_19588090384_7f76bee6f4_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_341_19588090384_7f76bee6f4_b.jpg,farm1_341_19588090384_7f76bee6f4_b.jpg,682,1024,0.6,farm1_341_19588090384_7f76bee6f4_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.509736,0.501082,0.713008,0.686693,"['alamp', 'nima', 'rgnet']",0.678658,0.670693,0.007965,105,97,8,0.0346666666666666,selected_high,True,selected_high,teacher__34__aadb__farm1_341_19588090384_7f76bee6f4_b.jpg__d500e4c5
ava__train__739415.jpg__96307bb8,ava,train,data/processed/ava/train.csv,data/raw/ava/images/739415.jpg,/home/omen_pc1/ava/images/739415.jpg,739415.jpg,715,475,,,5.473373,0.0,0.0,1.0,0.005917,6.0,0.035503,28.0,0.16568,59.0,0.349112,45.0,0.266272,16.0,0.094675,11.0,0.065089,2.0,0.011834,1.0,0.005917,5.788089,0.53201,0.659754,0.591448,"['alamp', 'nima', 'rgnet']",0.612827,0.61327,-0.000443,304,283,21,0.101,selected_high,True,selected_high,teacher__35__ava__739415.jpg__49088a38
aadb__test__farm1_347_19998876171_8cbce20f74_b.jpg__13fdafb8,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_347_19998876171_8cbce20f74_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_347_19998876171_8cbce20f74_b.jpg,farm1_347_19998876171_8cbce20f74_b.jpg,1024,654,0.6,farm1_347_19998876171_8cbce20f74_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.780492,0.531166,0.595487,0.696207,"['alamp', 'nima', 'rgnet']",0.639415,0.626127,0.013288,201,223,-22,0.0666666666666666,selected_high,True,selected_high,teacher__36__aadb__farm1_347_19998876171_8cbce20f74_b.jpg__fd803459
ava__train__105248.jpg__bea9802e,ava,train,data/processed/ava/train.csv,data/raw/ava/images/105248.jpg,/home/omen_pc1/ava/images/105248.jpg,105248.jpg,640,635,,,4.237288,9.0,0.030508,24.0,0.081356,43.0,0.145763,98.0,0.332203,76.0,0.257627,27.0,0.091525,14.0,0.047458,4.0,0.013559,0.0,0.0,0.0,0.0,5.644532,0.516059,0.568501,0.329956,"['alamp', 'nima', 'rgnet']",0.443984,0.465217,-0.021233,2281,2063,218,0.76,rejected_low,False,rejected_low,teacher__37__ava__105248.jpg__d90cb552
ava__test__137047.jpg__ba10c100,ava,test,data/processed/ava/test.csv,data/raw/ava/images/137047.jpg,/home/omen_pc1/ava/images/137047.jpg,137047.jpg,640,512,,,4.802198,1.0,0.005495,3.0,0.016484,14.0,0.076923,50.0,0.274725,77.0,0.423077,26.0,0.142857,6.0,0.032967,3.0,0.016484,2.0,0.010989,0.0,0.0,5.897573,0.544175,0.436887,0.542827,"['alamp', 'nima', 'rgnet']",0.500586,0.495356,0.00523,1432,1545,-113,0.477,middle_near_miss,False,middle_near_miss,teacher__38__ava__137047.jpg__780d24f8
aadb__val__farm1_359_20208322391_1ea7059c05_b.jpg__570d7be5,aadb,val,data/processed/aadb/val.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_359_20208322391_1ea7059c05_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_359_20208322391_1ea7059c05_b.jpg,farm1_359_20208322391_1ea7059c05_b.jpg,1024,929,0.75,farm1_359_20208322391_1ea7059c05_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.909427,0.545492,0.615273,0.755567,"['alamp', 'nima', 'rgnet']",0.678442,0.660923,0.017519,106,121,-15,0.035,selected_high,True,selected_high,teacher__39__aadb__farm1_359_20208322391_1ea7059c05_b.jpg__e111c746
aadb__train__farm1_259_19573465643_c3cfa19e63_b.jpg__1119d4de,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_259_19573465643_c3cfa19e63_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_259_19573465643_c3cfa19e63_b.jpg,farm1_259_19573465643_c3cfa19e63_b.jpg,1024,769,0.4,farm1_259_19573465643_c3cfa19e63_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.372951,0.485883,0.343622,0.364886,"['alamp', 'nima', 'rgnet']",0.36848,0.373467,-0.004987,2892,2919,-27,0.9636666666666668,rejected_low,False,rejected_low,teacher__40__aadb__farm1_259_19573465643_c3cfa19e63_b.jpg__af5a2e2a
ava__val__314495.jpg__91ce108a,ava,val,data/processed/ava/val.csv,data/raw/ava/images/314495.jpg,/home/omen_pc1/ava/images/314495.jpg,314495.jpg,640,480,,,5.603352,0.0,0.0,6.0,0.03352,8.0,0.044693,22.0,0.122905,49.0,0.273743,49.0,0.273743,28.0,0.156425,12.0,0.067039,2.0,0.011173,3.0,0.01676,6.503074,0.611453,0.6067,0.803089,"['alamp', 'nima', 'rgnet']",0.70537,0.685969,0.019401,61,70,-9,0.02,selected_high,True,selected_high,teacher__41__ava__314495.jpg__56369938
