id,dataset_source,source_split,source_metadata_csv,source_image_path,image_path,image_file,width,height,aadb_score,aadb_relative_path,ava_mean_score,ava_vote_1,ava_dist_1,ava_vote_2,ava_dist_2,ava_vote_3,ava_dist_3,ava_vote_4,ava_dist_4,ava_vote_5,ava_dist_5,ava_vote_6,ava_dist_6,ava_vote_7,ava_dist_7,ava_vote_8,ava_dist_8,ava_vote_9,ava_dist_9,ava_vote_10,ava_dist_10,nima_mean_score,nima_unit_score,rgnet_score,alamp_score,available_models,weighted_aesthetic_score,balanced_comparison_score,score_delta_primary_minus_comparison,rank_primary,rank_comparison,rank_delta_primary_minus_comparison,primary_rank_percentile,selection_bucket,selected
ava__val__115130.jpg__01d9120e,ava,val,data/processed/ava/val.csv,data/raw/ava/images/115130.jpg,/home/omen_pc1/ava/images/115130.jpg,115130.jpg,640,539,,,5.122449,1.0,0.004082,4.0,0.016327,9.0,0.036735,50.0,0.204082,105.0,0.428571,49.0,0.2,21.0,0.085714,3.0,0.012245,1.0,0.004082,2.0,0.008163,5.729072,0.525452,0.806391,0.839393,"['alamp', 'nima', 'rgnet']",0.794798,0.777451,0.017347,11,11,0,0.0033333333333333335,selected_high,True
ava__train__200741.jpg__a498efe2,ava,train,data/processed/ava/train.csv,data/raw/ava/images/200741.jpg,/home/omen_pc1/ava/images/200741.jpg,200741.jpg,640,480,,,5.651163,1.0,0.003322,10.0,0.033223,22.0,0.07309,29.0,0.096346,79.0,0.262458,81.0,0.269103,43.0,0.142857,16.0,0.053156,12.0,0.039867,8.0,0.026578,5.925577,0.547286,0.831801,0.814029,"['alamp', 'nima', 'rgnet']",0.794463,0.782015,0.012448,12,10,2,0.0036666666666666666,selected_high,True
ava__train__904484.jpg__8219cfbd,ava,train,data/processed/ava/train.csv,data/raw/ava/images/904484.jpg,/home/omen_pc1/ava/images/904484.jpg,904484.jpg,750,750,,,5.897196,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.074766,27.0,0.252336,48.0,0.448598,18.0,0.168224,4.0,0.037383,2.0,0.018692,0.0,0.0,6.214702,0.579411,0.657843,0.938236,"['alamp', 'nima', 'rgnet']",0.790196,0.758235,0.031961,13,14,-1,0.004,selected_high,True
ava__test__482015.jpg__c23e1ed9,ava,test,data/processed/ava/test.csv,data/raw/ava/images/482015.jpg,/home/omen_pc1/ava/images/482015.jpg,482015.jpg,638,471,,,4.836258,4.0,0.023392,7.0,0.040936,12.0,0.070175,58.0,0.339181,44.0,0.25731,20.0,0.116959,15.0,0.087719,5.0,0.02924,4.0,0.023392,2.0,0.011696,6.059135,0.562126,0.694723,0.901638,"['alamp', 'nima', 'rgnet']",0.784921,0.757599,0.027322,14,16,-2,0.004333333333333333,selected_high,True
ava__train__638607.jpg__82a73abb,ava,train,data/processed/ava/train.csv,data/raw/ava/images/638607.jpg,/home/omen_pc1/ava/images/638607.jpg,638607.jpg,720,464,,,5.375635,0.0,0.0,1.0,0.005076,2.0,0.010152,30.0,0.152284,91.0,0.461929,46.0,0.233503,17.0,0.086294,9.0,0.045685,1.0,0.005076,0.0,0.0,6.234418,0.581602,0.7239,0.862275,"['alamp', 'nima', 'rgnet']",0.778858,0.757905,0.020953,15,15,0,0.004666666666666667,selected_high,True
ava__test__754941.jpg__b16f994d,ava,test,data/processed/ava/test.csv,data/raw/ava/images/754941.jpg,/home/omen_pc1/ava/images/754941.jpg,754941.jpg,579,720,,,6.526316,0.0,0.0,0.0,0.0,1.0,0.005848,11.0,0.064327,19.0,0.111111,66.0,0.385965,36.0,0.210526,22.0,0.128655,10.0,0.05848,6.0,0.035088,5.797677,0.533075,0.683071,0.904528,"['alamp', 'nima', 'rgnet']",0.7788,0.749154,0.029646,16,19,-3,0.005,selected_high,True
ava__train__742017.jpg__8b4e86bb,ava,train,data/processed/ava/train.csv,data/raw/ava/images/742017.jpg,/home/omen_pc1/ava/images/742017.jpg,742017.jpg,615,640,,,5.930736,0.0,0.0,5.0,0.021645,11.0,0.047619,21.0,0.090909,52.0,0.225108,75.0,0.324675,25.0,0.108225,25.0,0.108225,12.0,0.051948,5.0,0.021645,6.188975,0.576553,0.811195,0.785893,"['alamp', 'nima', 'rgnet']",0.77508,0.765878,0.009202,17,13,4,0.005333333333333333,selected_high,True
aadb__train__farm1_352_20188180465_5a976e168d_b.jpg__3d950aac,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_352_20188180465_5a976e168d_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_352_20188180465_5a976e168d_b.jpg,farm1_352_20188180465_5a976e168d_b.jpg,1024,681,1.0,farm1_352_20188180465_5a976e168d_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.673817,0.519313,0.73417,0.850305,"['alamp', 'nima', 'rgnet']",0.770752,0.748395,0.022357,18,21,-3,0.005666666666666667,selected_high,True
ava__train__944545.jpg__5dc1f5de,ava,train,data/processed/ava/train.csv,data/raw/ava/images/944545.jpg,/home/omen_pc1/ava/images/944545.jpg,944545.jpg,800,744,,,6.02,0.0,0.0,0.0,0.0,5.0,0.033333,5.0,0.033333,36.0,0.24,59.0,0.393333,31.0,0.206667,10.0,0.066667,3.0,0.02,1.0,0.006667,5.817397,0.535266,0.738133,0.843941,"['alamp', 'nima', 'rgnet']",0.77075,0.750026,0.020724,19,18,1,0.006,selected_high,True
aadb__train__farm4_3808_20158015562_850df8785e_b.jpg__56510a99,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm4_3808_20158015562_850df8785e_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm4_3808_20158015562_850df8785e_b.jpg,farm4_3808_20158015562_850df8785e_b.jpg,1024,681,0.8,farm4_3808_20158015562_850df8785e_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.206742,0.467416,0.550067,1.0,"['alamp', 'nima', 'rgnet']",0.766768,0.717643,0.049125,20,35,-15,0.006333333333333333,selected_high,True
ava__train__37892.jpg__68eec60e,ava,train,data/processed/ava/train.csv,data/raw/ava/images/37892.jpg,/home/omen_pc1/ava/images/37892.jpg,37892.jpg,609,446,,,5.75,3.0,0.013393,4.0,0.017857,20.0,0.089286,23.0,0.102679,48.0,0.214286,52.0,0.232143,38.0,0.169643,20.0,0.089286,13.0,0.058036,3.0,0.013393,5.895837,0.543982,0.762843,0.813111,"['alamp', 'nima', 'rgnet']",0.766091,0.750121,0.01597,21,17,4,0.006666666666666667,selected_high,True
ava__train__425917.jpg__1e69bbea,ava,train,data/processed/ava/train.csv,data/raw/ava/images/425917.jpg,/home/omen_pc1/ava/images/425917.jpg,425917.jpg,640,512,,,6.571429,0.0,0.0,0.0,0.0,2.0,0.013605,3.0,0.020408,26.0,0.176871,50.0,0.340136,29.0,0.197279,24.0,0.163265,7.0,0.047619,6.0,0.040816,6.315838,0.590649,0.632927,0.904911,"['alamp', 'nima', 'rgnet']",0.764691,0.735379,0.029312,22,28,-6,0.007,selected_high,True
ava__train__485700.jpg__bd6d156a,ava,train,data/processed/ava/train.csv,data/raw/ava/images/485700.jpg,/home/omen_pc1/ava/images/485700.jpg,485700.jpg,520,640,,,6.541063,0.0,0.0,0.0,0.0,1.0,0.004831,9.0,0.043478,37.0,0.178744,62.0,0.299517,52.0,0.251208,25.0,0.120773,16.0,0.077295,5.0,0.024155,6.551689,0.616854,0.590906,0.931278,"['alamp', 'nima', 'rgnet']",0.763687,0.730947,0.03274,23,30,-7,0.007333333333333333,selected_high,True
aadb__train__farm1_270_20000467938_bf822e680a_b.jpg__4388abcf,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_270_20000467938_bf822e680a_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_270_20000467938_bf822e680a_b.jpg,farm1_270_20000467938_bf822e680a_b.jpg,1024,684,0.7,farm1_270_20000467938_bf822e680a_b.jpg,,,,,,,,,,,,,,,,,,,,,,6.121092,0.56901,0.511946,1.0,"['alamp', 'nima', 'rgnet']",0.761679,0.715727,0.045952,24,37,-13,0.007666666666666666,selected_high,True
aadb__train__farm1_433_20159617675_d055c19d5f_b.jpg__eca49132,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_433_20159617675_d055c19d5f_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_433_20159617675_d055c19d5f_b.jpg,farm1_433_20159617675_d055c19d5f_b.jpg,1024,678,0.55,farm1_433_20159617675_d055c19d5f_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.457088,0.495232,0.710196,0.855006,"['alamp', 'nima', 'rgnet']",0.761105,0.735875,0.02523,25,27,-2,0.008,selected_high,True
ava__train__315640.jpg__6dfb44f8,ava,train,data/processed/ava/train.csv,data/raw/ava/images/315640.jpg,/home/omen_pc1/ava/images/315640.jpg,315640.jpg,640,465,,,4.958824,0.0,0.0,0.0,0.0,12.0,0.070588,41.0,0.241176,78.0,0.458824,29.0,0.170588,5.0,0.029412,2.0,0.011765,2.0,0.011765,1.0,0.005882,5.478186,0.497576,0.789327,0.790988,"['alamp', 'nima', 'rgnet']",0.760982,0.746229,0.014753,26,22,4,0.008333333333333333,selected_high,True
aadb__train__farm1_378_20101723651_a4094e7f9c_b.jpg__cfbe626c,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_378_20101723651_a4094e7f9c_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_378_20101723651_a4094e7f9c_b.jpg,farm1_378_20101723651_a4094e7f9c_b.jpg,1024,576,0.8,farm1_378_20101723651_a4094e7f9c_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.305196,0.478355,0.770432,0.801858,"['alamp', 'nima', 'rgnet']",0.756937,0.739191,0.017746,27,25,2,0.008666666666666666,selected_high,True
ava__train__288085.jpg__02db1b1e,ava,train,data/processed/ava/train.csv,data/raw/ava/images/288085.jpg,/home/omen_pc1/ava/images/288085.jpg,288085.jpg,640,439,,,6.14226,0.0,0.0,3.0,0.012552,11.0,0.046025,17.0,0.07113,53.0,0.221757,60.0,0.251046,54.0,0.225941,20.0,0.083682,12.0,0.050209,9.0,0.037657,6.122905,0.569212,0.721856,0.819982,"['alamp', 'nima', 'rgnet']",0.755655,0.73821,0.017445,28,26,2,0.009,selected_high,True
ava__train__10052.jpg__645d4fcb,ava,train,data/processed/ava/train.csv,data/raw/ava/images/10052.jpg,/home/omen_pc1/ava/images/10052.jpg,10052.jpg,640,480,,,5.398936,0.0,0.0,4.0,0.021277,14.0,0.074468,34.0,0.180851,53.0,0.281915,42.0,0.223404,24.0,0.12766,12.0,0.06383,2.0,0.010638,3.0,0.015957,5.71472,0.523858,0.842413,0.72692,"['alamp', 'nima', 'rgnet']",0.752811,0.748433,0.004378,29,20,9,0.009333333333333334,selected_high,True
ava__train__303248.jpg__6778f03e,ava,train,data/processed/ava/train.csv,data/raw/ava/images/303248.jpg,/home/omen_pc1/ava/images/303248.jpg,303248.jpg,640,640,,,6.526066,0.0,0.0,4.0,0.018957,5.0,0.023697,8.0,0.037915,40.0,0.189573,57.0,0.270142,37.0,0.175355,35.0,0.165877,9.0,0.042654,16.0,0.075829,6.09625,0.56625,0.775963,0.771248,"['alamp', 'nima', 'rgnet']",0.752634,0.74262,0.010014,30,23,7,0.009666666666666667,selected_high,True
ava__val__218.jpg__6d184adc,ava,val,data/processed/ava/val.csv,data/raw/ava/images/218.jpg,/home/omen_pc1/ava/images/218.jpg,218.jpg,480,640,,,6.220126,2.0,0.012579,7.0,0.044025,14.0,0.08805,10.0,0.062893,19.0,0.119497,30.0,0.188679,27.0,0.169811,30.0,0.188679,13.0,0.081761,7.0,0.044025,5.648538,0.516504,0.680817,0.850019,"['alamp', 'nima', 'rgnet']",0.748987,0.723851,0.025136,31,33,-2,0.01,selected_high,True
ava__train__564044.jpg__9382685e,ava,train,data/processed/ava/train.csv,data/raw/ava/images/564044.jpg,/home/omen_pc1/ava/images/564044.jpg,564044.jpg,720,480,,,5.962121,0.0,0.0,0.0,0.0,3.0,0.022727,10.0,0.075758,30.0,0.227273,53.0,0.401515,24.0,0.181818,7.0,0.05303,4.0,0.030303,1.0,0.007576,6.029773,0.558864,0.807175,0.732878,"['alamp', 'nima', 'rgnet']",0.745195,0.74021,0.004985,32,24,8,0.010333333333333333,selected_high,True
ava__train__859004.jpg__36fb7b44,ava,train,data/processed/ava/train.csv,data/raw/ava/images/859004.jpg,/home/omen_pc1/ava/images/859004.jpg,859004.jpg,800,665,,,5.6911,2.0,0.010471,4.0,0.020942,4.0,0.020942,19.0,0.099476,56.0,0.293194,59.0,0.308901,27.0,0.141361,16.0,0.08377,2.0,0.010471,2.0,0.010471,6.025781,0.55842,0.720728,0.796421,"['alamp', 'nima', 'rgnet']",0.742344,0.726659,0.015685,33,32,1,0.010666666666666666,selected_high,True
ava__val__704166.jpg__18a235c1,ava,val,data/processed/ava/val.csv,data/raw/ava/images/704166.jpg,/home/omen_pc1/ava/images/704166.jpg,704166.jpg,604,640,,,4.838889,3.0,0.016667,5.0,0.027778,18.0,0.1,47.0,0.261111,59.0,0.327778,25.0,0.138889,15.0,0.083333,7.0,0.038889,0.0,0.0,1.0,0.005556,5.845767,0.538419,0.649579,0.856526,"['alamp', 'nima', 'rgnet']",0.741936,0.715684,0.026252,34,38,-4,0.011,selected_high,True
ava__test__73873.jpg__ffafcf05,ava,test,data/processed/ava/test.csv,data/raw/ava/images/73873.jpg,/home/omen_pc1/ava/images/73873.jpg,73873.jpg,616,458,,,5.95092,0.0,0.0,1.0,0.006135,7.0,0.042945,18.0,0.110429,41.0,0.251534,39.0,0.239264,32.0,0.196319,17.0,0.104294,4.0,0.02454,4.0,0.02454,5.975834,0.55287,0.700415,0.808469,"['alamp', 'nima', 'rgnet']",0.739688,0.721505,0.018183,35,34,1,0.011333333333333334,selected_high,True
ava__train__36558.jpg__fe41c62d,ava,train,data/processed/ava/train.csv,data/raw/ava/images/36558.jpg,/home/omen_pc1/ava/images/36558.jpg,36558.jpg,588,464,,,6.278912,1.0,0.006803,0.0,0.0,0.0,0.0,9.0,0.061224,36.0,0.244898,44.0,0.29932,26.0,0.176871,22.0,0.14966,6.0,0.040816,3.0,0.020408,6.39555,0.599506,0.782769,0.721945,"['alamp', 'nima', 'rgnet']",0.734031,0.73095,0.003081,36,29,7,0.011666666666666667,selected_high,True
ava__train__862335.jpg__c3610c0e,ava,train,data/processed/ava/train.csv,data/raw/ava/images/862335.jpg,/home/omen_pc1/ava/images/862335.jpg,862335.jpg,776,459,,,5.091549,1.0,0.007042,7.0,0.049296,13.0,0.091549,21.0,0.147887,49.0,0.34507,26.0,0.183099,17.0,0.119718,7.0,0.049296,1.0,0.007042,0.0,0.0,5.720158,0.524462,0.664002,0.829188,"['alamp', 'nima', 'rgnet']",0.732641,0.709145,0.023496,37,42,-5,0.012,selected_high,True
ava__train__841659.jpg__fb08b294,ava,train,data/processed/ava/train.csv,data/raw/ava/images/841659.jpg,/home/omen_pc1/ava/images/841659.jpg,841659.jpg,800,640,,,7.274112,0.0,0.0,0.0,0.0,1.0,0.005076,1.0,0.005076,16.0,0.081218,50.0,0.253807,52.0,0.263959,32.0,0.162437,24.0,0.121827,21.0,0.106599,5.682542,0.520282,0.712739,0.788613,"['alamp', 'nima', 'rgnet']",0.73143,0.71422,0.01721,38,39,-1,0.012333333333333333,selected_high,True
ava__train__838352.jpg__7a961d72,ava,train,data/processed/ava/train.csv,data/raw/ava/images/838352.jpg,/home/omen_pc1/ava/images/838352.jpg,838352.jpg,533,800,,,6.539772,0.0,0.0,0.0,0.0,2.0,0.011364,7.0,0.039773,23.0,0.130682,54.0,0.306818,56.0,0.318182,24.0,0.136364,6.0,0.034091,4.0,0.022727,5.908681,0.545409,0.665079,0.816279,"['alamp', 'nima', 'rgnet']",0.728712,0.707609,0.021103,39,45,-6,0.012666666666666666,selected_high,True
aadb__train__farm1_338_19664690673_d4796cc197_b.jpg__1f928908,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_338_19664690673_d4796cc197_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_338_19664690673_d4796cc197_b.jpg,farm1_338_19664690673_d4796cc197_b.jpg,769,1024,0.65,farm1_338_19664690673_d4796cc197_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.2729,0.474767,0.678343,0.817174,"['alamp', 'nima', 'rgnet']",0.727401,0.703339,0.024062,40,49,-9,0.013,selected_high,True
ava__test__349898.jpg__3ad59914,ava,test,data/processed/ava/test.csv,data/raw/ava/images/349898.jpg,/home/omen_pc1/ava/images/349898.jpg,349898.jpg,640,480,,,5.558394,1.0,0.00365,6.0,0.021898,23.0,0.083942,30.0,0.109489,70.0,0.255474,82.0,0.29927,35.0,0.127737,16.0,0.058394,4.0,0.014599,7.0,0.025547,5.837784,0.537532,0.702384,0.785283,"['alamp', 'nima', 'rgnet']",0.727348,0.710816,0.016532,41,40,1,0.013333333333333334,selected_high,True
ava__train__197734.jpg__f3cbb60b,ava,train,data/processed/ava/train.csv,data/raw/ava/images/197734.jpg,/home/omen_pc1/ava/images/197734.jpg,197734.jpg,640,429,,,4.671329,4.0,0.013986,14.0,0.048951,39.0,0.136364,66.0,0.230769,98.0,0.342657,38.0,0.132867,17.0,0.059441,5.0,0.017483,4.0,0.013986,1.0,0.003497,5.529662,0.503296,0.670692,0.816265,"['alamp', 'nima', 'rgnet']",0.726739,0.703812,0.022927,42,47,-5,0.013666666666666667,selected_high,True
aadb__train__farm1_395_20009162760_b1a4b43f95_b.jpg__e5465969,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_395_20009162760_b1a4b43f95_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_395_20009162760_b1a4b43f95_b.jpg,farm1_395_20009162760_b1a4b43f95_b.jpg,1024,832,0.9,farm1_395_20009162760_b1a4b43f95_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.249372,0.472152,0.682793,0.812416,"['alamp', 'nima', 'rgnet']",0.72654,0.703046,0.023494,43,50,-7,0.014,selected_high,True
ava__val__684070.jpg__e5351b95,ava,val,data/processed/ava/val.csv,data/raw/ava/images/684070.jpg,/home/omen_pc1/ava/images/684070.jpg,684070.jpg,700,560,,,5.952381,0.0,0.0,0.0,0.0,3.0,0.017857,17.0,0.10119,44.0,0.261905,59.0,0.35119,23.0,0.136905,12.0,0.071429,8.0,0.047619,2.0,0.011905,6.444078,0.604898,0.712726,0.761384,"['alamp', 'nima', 'rgnet']",0.726272,0.716015,0.010257,44,36,8,0.014333333333333333,selected_high,True
ava__train__739766.jpg__db0364df,ava,train,data/processed/ava/train.csv,data/raw/ava/images/739766.jpg,/home/omen_pc1/ava/images/739766.jpg,739766.jpg,720,481,,,6.135294,0.0,0.0,2.0,0.011765,2.0,0.011765,7.0,0.041176,33.0,0.194118,62.0,0.364706,46.0,0.270588,17.0,0.1,0.0,0.0,1.0,0.005882,6.296806,0.588534,0.620432,0.833483,"['alamp', 'nima', 'rgnet']",0.723768,0.700868,0.0229,45,54,-9,0.014666666666666666,selected_high,True
ava__train__905085.jpg__f96bb626,ava,train,data/processed/ava/train.csv,data/raw/ava/images/905085.jpg,/home/omen_pc1/ava/images/905085.jpg,905085.jpg,725,664,,,6.065089,0.0,0.0,0.0,0.0,7.0,0.04142,10.0,0.059172,43.0,0.254438,51.0,0.301775,37.0,0.218935,11.0,0.065089,4.0,0.023669,6.0,0.035503,6.018907,0.557656,0.842734,0.660817,"['alamp', 'nima', 'rgnet']",0.723268,0.727206,-0.003938,46,31,15,0.015,selected_high,True
ava__train__279793.jpg__82bd54f6,ava,train,data/processed/ava/train.csv,data/raw/ava/images/279793.jpg,/home/omen_pc1/ava/images/279793.jpg,279793.jpg,432,550,,,5.510204,1.0,0.002268,5.0,0.011338,16.0,0.036281,57.0,0.129252,144.0,0.326531,141.0,0.319728,50.0,0.113379,19.0,0.043084,5.0,0.011338,3.0,0.006803,5.737621,0.526402,0.720777,0.762232,"['alamp', 'nima', 'rgnet']",0.722067,0.708203,0.013864,47,44,3,0.015333333333333332,selected_high,True
ava__train__314816.jpg__31c899c1,ava,train,data/processed/ava/train.csv,data/raw/ava/images/314816.jpg,/home/omen_pc1/ava/images/314816.jpg,314816.jpg,640,352,,,4.918128,2.0,0.011696,4.0,0.023392,14.0,0.081871,40.0,0.233918,64.0,0.374269,28.0,0.163743,13.0,0.076023,5.0,0.02924,0.0,0.0,1.0,0.005848,5.811682,0.534631,0.732202,0.751067,"['alamp', 'nima', 'rgnet']",0.721877,0.710112,0.011765,48,41,7,0.015666666666666666,selected_high,True
ava__train__864142.jpg__13979c55,ava,train,data/processed/ava/train.csv,data/raw/ava/images/864142.jpg,/home/omen_pc1/ava/images/864142.jpg,864142.jpg,800,507,,,5.56338,0.0,0.0,1.0,0.007042,2.0,0.014085,18.0,0.126761,50.0,0.352113,46.0,0.323944,19.0,0.133803,4.0,0.028169,1.0,0.007042,1.0,0.007042,6.36193,0.59577,0.701958,0.758546,"['alamp', 'nima', 'rgnet']",0.719633,0.708665,0.010968,49,43,6,0.016,selected_high,True
