candidate_id,image_path,image_file_name,dataset_source,selection_band,selection_state,aesthetic_signal,nima_unit_score,rgnet_score,alamp_score,weighted_aesthetic_score,balanced_comparison_score,primary_rank,primary_rank_percentile,source_split,ava_mean_score,aadb_score
gemini__300__30__ava__middle_near_miss__356067.jpg__d77a89738f,/home/omen_pc1/ava/images/356067.jpg,356067.jpg,ava,middle_near_miss,near_miss,medium,0.475019,0.606864,0.486521,0.533508,0.53895,974,0.3243333333333333,train,4.919786,
gemini__300__31__aadb__middle_near_miss__farm1_264_20257056732_61345d19c6_b.jpg__e7cdbac244,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_264_20257056732_61345d19c6_b.jpg,farm1_264_20257056732_61345d19c6_b.jpg,aadb,middle_near_miss,near_miss,medium,0.514421,0.480564,0.47021,0.478773,0.481501,1734,0.5776666666666667,train,,0.75
gemini__300__32__ava__selected_high__783869.jpg__e72a5b5884,/home/omen_pc1/ava/images/783869.jpg,783869.jpg,ava,selected_high,selected,strong,0.466816,0.759626,0.589172,0.645118,0.647523,184,0.061,train,5.28,
gemini__300__33__ava__middle_near_miss__735846.jpg__8a7b0831c1,/home/omen_pc1/ava/images/735846.jpg,735846.jpg,ava,middle_near_miss,near_miss,medium,0.563519,0.482465,0.562074,0.530375,0.526467,1012,0.337,train,5.534413,
gemini__300__34__aadb__middle_near_miss__farm1_471_20078433965_ed5b120cfe_b.jpg__44558a69fb,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_471_20078433965_ed5b120cfe_b.jpg,farm1_471_20078433965_ed5b120cfe_b.jpg,aadb,middle_near_miss,near_miss,medium,0.462163,0.614541,0.489529,0.536797,0.541679,927,0.30866666666666664,train,,0.6
gemini__300__35__aadb__rejected_low__farm1_321_19956050958_b958be9aa5_b.jpg__5bedf2ab92,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_321_19956050958_b958be9aa5_b.jpg,farm1_321_19956050958_b958be9aa5_b.jpg,aadb,rejected_low,not_selected,weak,0.535595,0.426157,0.34588,0.396962,0.410462,2752,0.917,train,,0.25
gemini__300__36__ava__middle_near_miss__682196.jpg__e87a13cca5,/home/omen_pc1/ava/images/682196.jpg,682196.jpg,ava,middle_near_miss,near_miss,medium,0.525705,0.429768,0.485791,0.467373,0.466568,1937,0.6453333333333333,train,4.477778,
gemini__300__37__aadb__middle_near_miss__farm1_339_19549261143_43dde4ddc6_b.jpg__ed92492cb2,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_339_19549261143_43dde4ddc6_b.jpg,farm1_339_19549261143_43dde4ddc6_b.jpg,aadb,middle_near_miss,near_miss,medium,0.491316,0.590694,0.458712,0.514765,0.522995,1219,0.406,train,,0.4
gemini__300__38__ava__rejected_low__476365.jpg__9e76a37d90,/home/omen_pc1/ava/images/476365.jpg,476365.jpg,ava,rejected_low,not_selected,weak,0.562667,0.36593,0.436822,0.42105,0.423797,2542,0.847,train,5.780899,
gemini__300__39__ava__middle_near_miss__585349.jpg__cefa83dc54,/home/omen_pc1/ava/images/585349.jpg,585349.jpg,ava,middle_near_miss,near_miss,medium,0.519651,0.594943,0.427051,0.503468,0.516492,1382,0.4603333333333333,train,4.895028,
gemini__300__40__ava__middle_near_miss__606987.jpg__cbde972ff5,/home/omen_pc1/ava/images/606987.jpg,606987.jpg,ava,middle_near_miss,near_miss,medium,0.558528,0.609473,0.362304,0.480794,0.502964,1700,0.5663333333333334,val,5.353982,
gemini__300__41__ava__middle_near_miss__391225.jpg__407d8ce7be,/home/omen_pc1/ava/images/391225.jpg,391225.jpg,ava,middle_near_miss,near_miss,medium,0.531003,0.524179,0.474052,0.499798,0.505152,1448,0.48233333333333334,train,5.82266,
gemini__300__42__aadb__middle_near_miss__farm1_256_20261842465_c63bef6142_b.jpg__933ad973e7,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_256_20261842465_c63bef6142_b.jpg,farm1_256_20261842465_c63bef6142_b.jpg,aadb,middle_near_miss,near_miss,medium,0.518938,0.475205,0.53122,0.507586,0.504171,1315,0.438,train,,0.6
gemini__300__43__ava__rejected_low__190297.jpg__fe486ab84d,/home/omen_pc1/ava/images/190297.jpg,190297.jpg,ava,rejected_low,not_selected,weak,0.486115,0.326471,0.386407,0.372403,0.374392,2880,0.9596666666666667,train,4.577287,
gemini__300__44__ava__rejected_low__30571.jpg__2b43f72159,/home/omen_pc1/ava/images/30571.jpg,30571.jpg,ava,rejected_low,not_selected,weak,0.532752,0.439848,0.397302,0.427865,0.436765,2465,0.8213333333333334,train,5.2,
gemini__300__45__ava__rejected_low__861327.jpg__111785cc6f,/home/omen_pc1/ava/images/861327.jpg,861327.jpg,ava,rejected_low,not_selected,weak,0.534466,0.410362,0.371147,0.403165,0.413292,2709,0.9026666666666666,train,6.361991,
gemini__300__46__ava__selected_high__721521.jpg__1dc2d52448,/home/omen_pc1/ava/images/721521.jpg,721521.jpg,ava,selected_high,selected,strong,0.515572,0.660671,0.668429,0.65004,0.642009,167,0.05533333333333333,train,5.820312,
gemini__300__47__aadb__selected_high__farm1_296_20273333571_a7dfd9d027_b.jpg__0bf77f56e9,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_296_20273333571_a7dfd9d027_b.jpg,farm1_296_20273333571_a7dfd9d027_b.jpg,aadb,selected_high,selected,strong,0.608236,0.524158,0.776281,0.658627,0.637619,146,0.04833333333333333,val,,0.9
gemini__300__48__ava__rejected_low__664466.jpg__bfcebf245c,/home/omen_pc1/ava/images/664466.jpg,664466.jpg,ava,rejected_low,not_selected,weak,0.457539,0.348301,0.406783,0.388466,0.38808,2803,0.934,test,5.375,
gemini__300__49__aadb__middle_near_miss__farm1_373_20025879769_ce02f40c1f_b.jpg__df5c09d4d5,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_373_20025879769_ce02f40c1f_b.jpg,farm1_373_20025879769_ce02f40c1f_b.jpg,aadb,middle_near_miss,near_miss,medium,0.50127,0.411858,0.642303,0.536022,0.517448,937,0.312,train,,0.5
gemini__300__50__aadb__rejected_low__farm1_281_19973387308_3b0e6611a0_b.jpg__3b5f188d8e,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_281_19973387308_3b0e6611a0_b.jpg,farm1_281_19973387308_3b0e6611a0_b.jpg,aadb,rejected_low,not_selected,weak,0.472831,0.360197,0.358011,0.370367,0.376218,2889,0.9626666666666667,train,,0.3
gemini__300__51__aadb__rejected_low__farm1_345_19571841454_ede3efed71_b.jpg__2d6a58e125,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_345_19571841454_ede3efed71_b.jpg,farm1_345_19571841454_ede3efed71_b.jpg,aadb,rejected_low,not_selected,weak,0.466015,0.378838,0.336905,0.366589,0.375141,2901,0.9666666666666667,train,,0.45
gemini__300__52__ava__rejected_low__825743.jpg__aa3d9f52e9,/home/omen_pc1/ava/images/825743.jpg,825743.jpg,ava,rejected_low,not_selected,weak,0.540721,0.321759,0.337182,0.351367,0.360772,2954,0.9843333333333333,train,6.331395,
gemini__300__53__ava__selected_high__755878.jpg__c3a67c2003,/home/omen_pc1/ava/images/755878.jpg,755878.jpg,ava,selected_high,selected,strong,0.578499,0.603031,0.504594,0.551359,0.559976,787,0.262,train,6.76569,
gemini__300__54__ava__selected_high__46101.jpg__fd4a041d79,/home/omen_pc1/ava/images/46101.jpg,46101.jpg,ava,selected_high,selected,strong,0.534683,0.500181,0.584721,0.545901,0.539172,846,0.2816666666666667,train,6.027972,
gemini__300__55__ava__selected_high__179747.jpg__506877a50e,/home/omen_pc1/ava/images/179747.jpg,179747.jpg,ava,selected_high,selected,strong,0.532382,0.41206,0.813025,0.624575,0.590494,251,0.08333333333333333,train,4.737227,
gemini__300__56__aadb__selected_high__farm1_349_20143576306_c860b1c280_b.jpg__20bb5bb335,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_349_20143576306_c860b1c280_b.jpg,farm1_349_20143576306_c860b1c280_b.jpg,aadb,selected_high,selected,strong,0.545555,0.548464,0.579755,0.563819,0.560544,671,0.22333333333333333,train,,0.8
gemini__300__57__ava__rejected_low__633426.jpg__98a3b16a07,/home/omen_pc1/ava/images/633426.jpg,633426.jpg,ava,rejected_low,not_selected,weak,0.53404,0.436443,0.303816,0.379889,0.398032,2852,0.9503333333333334,train,5.432099,
gemini__300__58__ava__selected_high__196388.jpg__56b82787d0,/home/omen_pc1/ava/images/196388.jpg,196388.jpg,ava,selected_high,selected,strong,0.512276,0.55825,0.646517,0.597786,0.586661,406,0.135,val,4.713755,
gemini__300__59__aadb__middle_near_miss__farm1_523_20246665696_424c345a16_b.jpg__fc3ecb79ed,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_523_20246665696_424c345a16_b.jpg,farm1_523_20246665696_424c345a16_b.jpg,aadb,middle_near_miss,near_miss,medium,0.526082,0.603361,0.365497,0.476701,0.496624,1774,0.591,train,,0.65
gemini__300__60__ava__middle_near_miss__471332.jpg__641f80211a,/home/omen_pc1/ava/images/471332.jpg,471332.jpg,ava,middle_near_miss,near_miss,medium,0.557735,0.475284,0.437986,0.46488,0.472732,1983,0.6606666666666666,train,5.404348,
gemini__300__61__ava__rejected_low__167567.jpg__dc81e3b3d6,/home/omen_pc1/ava/images/167567.jpg,167567.jpg,ava,rejected_low,not_selected,weak,0.497082,0.461287,0.273259,0.370853,0.391445,2888,0.9623333333333334,test,4.533898,
gemini__300__62__ava__selected_high__924314.jpg__d2a7e490c6,/home/omen_pc1/ava/images/924314.jpg,924314.jpg,ava,selected_high,selected,strong,0.585883,0.607856,0.510944,0.557203,0.565795,726,0.24166666666666667,val,6.965714,
gemini__300__63__aadb__middle_near_miss__farm1_334_20019572789_2d2d79ec02_b.jpg__5bb7a6fee4,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_334_20019572789_2d2d79ec02_b.jpg,farm1_334_20019572789_2d2d79ec02_b.jpg,aadb,middle_near_miss,near_miss,medium,0.511242,0.598068,0.392974,0.486838,0.503007,1617,0.5386666666666666,train,,0.5
gemini__300__64__ava__middle_near_miss__611759.jpg__2425688886,/home/omen_pc1/ava/images/611759.jpg,611759.jpg,ava,middle_near_miss,near_miss,medium,0.555559,0.418602,0.559043,0.502518,0.495322,1394,0.4643333333333333,test,5.092593,
gemini__300__65__aadb__middle_near_miss__farm1_371_19360550413_20cda81766_b.jpg__29ff555922,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_371_19360550413_20cda81766_b.jpg,farm1_371_19360550413_20cda81766_b.jpg,aadb,middle_near_miss,near_miss,medium,0.471899,0.602381,0.470329,0.523307,0.529988,1097,0.36533333333333334,test,,0.438
gemini__300__66__aadb__middle_near_miss__farm1_255_20257860752_ca780dc615_b.jpg__e3269cd655,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_255_20257860752_ca780dc615_b.jpg,farm1_255_20257860752_ca780dc615_b.jpg,aadb,middle_near_miss,near_miss,medium,0.510258,0.523971,0.450878,0.486053,0.492677,1630,0.543,train,,0.6
gemini__300__67__ava__middle_near_miss__126191.jpg__1db237417c,/home/omen_pc1/ava/images/126191.jpg,126191.jpg,ava,middle_near_miss,near_miss,medium,0.534194,0.491114,0.514791,0.507261,0.507047,1318,0.439,train,5.858586,
gemini__300__68__aadb__selected_high__farm1_341_19588090384_7f76bee6f4_b.jpg__eadef4301e,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_341_19588090384_7f76bee6f4_b.jpg,farm1_341_19588090384_7f76bee6f4_b.jpg,aadb,selected_high,selected,strong,0.501082,0.713008,0.686693,0.678658,0.670693,105,0.034666666666666665,val,,0.6
gemini__300__69__ava__selected_high__111867.jpg__4a7809b5b0,/home/omen_pc1/ava/images/111867.jpg,111867.jpg,ava,selected_high,selected,strong,0.460517,0.590667,0.595275,0.579956,0.572988,531,0.17666666666666667,train,4.317073,
gemini__300__70__ava__middle_near_miss__196428.jpg__cbc8fb5320,/home/omen_pc1/ava/images/196428.jpg,196428.jpg,ava,middle_near_miss,near_miss,medium,0.514489,0.53576,0.523296,0.527401,0.527584,1045,0.348,test,4.174274,
gemini__300__71__ava__selected_high__325452.jpg__1381760bdd,/home/omen_pc1/ava/images/325452.jpg,325452.jpg,ava,selected_high,selected,strong,0.524176,0.626034,0.661212,0.633437,0.624827,221,0.07333333333333333,train,5.03876,
gemini__300__72__aadb__middle_near_miss__farm1_473_19950394178_9d13683d04_b.jpg__c2ba5d1aa7,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_473_19950394178_9d13683d04_b.jpg,farm1_473_19950394178_9d13683d04_b.jpg,aadb,middle_near_miss,near_miss,medium,0.510286,0.537364,0.482855,0.507402,0.511499,1317,0.43866666666666665,train,,0.45
gemini__300__73__ava__selected_high__226669.jpg__23e81dcc29,/home/omen_pc1/ava/images/226669.jpg,226669.jpg,ava,selected_high,selected,strong,0.567534,0.627735,0.54742,0.581557,0.586579,515,0.17133333333333334,train,5.857143,
gemini__300__74__aadb__rejected_low__farm1_307_20129257706_6dc005ed8d_b.jpg__5b1473a1cd,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_307_20129257706_6dc005ed8d_b.jpg,farm1_307_20129257706_6dc005ed8d_b.jpg,aadb,rejected_low,not_selected,weak,0.492148,0.325167,0.333889,0.346226,0.353703,2967,0.9886666666666667,train,,0.0
gemini__300__75__aadb__selected_high__farm1_375_19998513905_ca8cb4c0ff_b.jpg__19224d7195,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_375_19998513905_ca8cb4c0ff_b.jpg,farm1_375_19998513905_ca8cb4c0ff_b.jpg,aadb,selected_high,selected,strong,0.54157,0.692816,0.663305,0.662936,0.658325,139,0.046,train,,0.8
gemini__300__76__ava__middle_near_miss__230632.jpg__c9cf3f93bd,/home/omen_pc1/ava/images/230632.jpg,230632.jpg,ava,middle_near_miss,near_miss,medium,0.556701,0.447508,0.446918,0.458132,0.463651,2076,0.6916666666666667,test,5.669201,
gemini__300__77__aadb__rejected_low__farm1_293_19487138234_d6dd54684e_b.jpg__cdb48e0204,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_293_19487138234_d6dd54684e_b.jpg,farm1_293_19487138234_d6dd54684e_b.jpg,aadb,rejected_low,not_selected,weak,0.440224,0.398568,0.444429,0.425664,0.423161,2490,0.8296666666666667,train,,0.5
gemini__300__78__aadb__selected_high__farm1_384_20009567880_f091d304ae_b.jpg__e486fce4e1,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_384_20009567880_f091d304ae_b.jpg,farm1_384_20009567880_f091d304ae_b.jpg,aadb,selected_high,selected,strong,0.58857,0.618424,0.606743,0.609598,0.609274,318,0.10566666666666667,train,,0.7
gemini__300__79__ava__rejected_low__272131.jpg__80583eceb5,/home/omen_pc1/ava/images/272131.jpg,272131.jpg,ava,rejected_low,not_selected,weak,0.513668,0.490277,0.392797,0.443876,0.454794,2282,0.7603333333333333,val,4.380328,
gemini__300__80__ava__rejected_low__753562.jpg__35304e26e9,/home/omen_pc1/ava/images/753562.jpg,753562.jpg,ava,rejected_low,not_selected,weak,0.528381,0.406782,0.301522,0.366312,0.382918,2902,0.967,train,4.948598,
gemini__300__81__ava__rejected_low__2289.jpg__0c4e0c4068,/home/omen_pc1/ava/images/2289.jpg,2289.jpg,ava,rejected_low,not_selected,weak,0.475483,0.381827,0.336918,0.368738,0.377912,2891,0.9633333333333334,train,4.164502,
gemini__300__82__ava__rejected_low__775114.jpg__3510510728,/home/omen_pc1/ava/images/775114.jpg,775114.jpg,ava,rejected_low,not_selected,weak,0.532681,0.403757,0.410171,0.419856,0.425661,2559,0.8526666666666667,val,4.985366,
gemini__300__83__ava__selected_high__677228.jpg__cb83fd1aa0,/home/omen_pc1/ava/images/677228.jpg,677228.jpg,ava,selected_high,selected,strong,0.588425,0.652083,0.697732,0.668542,0.660794,125,0.04133333333333333,train,6.393333,
gemini__300__84__ava__middle_near_miss__67760.jpg__68a761a7c3,/home/omen_pc1/ava/images/67760.jpg,67760.jpg,ava,middle_near_miss,near_miss,medium,0.51524,0.577589,0.360137,0.462628,0.481256,2008,0.669,train,6.348066,
gemini__300__85__ava__middle_near_miss__3151.jpg__ec315f2142,/home/omen_pc1/ava/images/3151.jpg,3151.jpg,ava,middle_near_miss,near_miss,medium,0.520258,0.550328,0.444704,0.494509,0.503568,1515,0.5046666666666667,test,5.45768,
gemini__300__86__aadb__rejected_low__farm1_364_19956065638_731319b720_b.jpg__08952e7803,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_364_19956065638_731319b720_b.jpg,farm1_364_19956065638_731319b720_b.jpg,aadb,rejected_low,not_selected,weak,0.429722,0.398713,0.303312,0.354113,0.365204,2943,0.9806666666666667,train,,0.3
gemini__300__87__aadb__rejected_low__farm1_262_20178352636_8ba1119703_b.jpg__53b927943c,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_262_20178352636_8ba1119703_b.jpg,farm1_262_20178352636_8ba1119703_b.jpg,aadb,rejected_low,not_selected,weak,0.496205,0.386378,0.365644,0.386994,0.394558,2816,0.9383333333333334,train,,0.35
gemini__300__88__ava__selected_high__117846.jpg__89429e4874,/home/omen_pc1/ava/images/117846.jpg,117846.jpg,ava,selected_high,selected,strong,0.554705,0.675758,0.49451,0.573029,0.585101,590,0.19633333333333333,train,5.413462,
gemini__300__89__ava__middle_near_miss__380916.jpg__9240aa0c67,/home/omen_pc1/ava/images/380916.jpg,380916.jpg,ava,middle_near_miss,near_miss,medium,0.526532,0.586502,0.420106,0.497307,0.510948,1476,0.49166666666666664,test,5.694006,
gemini__300__90__ava__middle_near_miss__69831.jpg__0f6066bd0b,/home/omen_pc1/ava/images/69831.jpg,69831.jpg,ava,middle_near_miss,near_miss,medium,0.489993,0.475416,0.530173,0.504252,0.499505,1366,0.455,test,4.472924,
gemini__300__91__aadb__selected_high__farm1_548_19460383993_1d82142568_b.jpg__b6fe059f0e,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_548_19460383993_1d82142568_b.jpg,farm1_548_19460383993_1d82142568_b.jpg,aadb,selected_high,selected,strong,0.513149,0.618841,0.535565,0.566634,0.569677,645,0.21466666666666667,train,,0.35
gemini__300__92__aadb__rejected_low__farm1_351_20158608062_4937402086_b.jpg__8310b4c435,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_351_20158608062_4937402086_b.jpg,farm1_351_20158608062_4937402086_b.jpg,aadb,rejected_low,not_selected,weak,0.454878,0.273999,0.394731,0.352453,0.349424,2950,0.983,train,,0.15
gemini__300__93__ava__selected_high__262856.jpg__03336ac69e,/home/omen_pc1/ava/images/262856.jpg,262856.jpg,ava,selected_high,selected,strong,0.579217,0.714209,0.637813,0.662512,0.663402,140,0.04633333333333333,train,6.236363,
gemini__300__94__ava__middle_near_miss__866059.jpg__fd18c1d764,/home/omen_pc1/ava/images/866059.jpg,866059.jpg,ava,middle_near_miss,near_miss,medium,0.517088,0.431423,0.593247,0.520902,0.509002,1136,0.37833333333333335,train,4.72449,
